created on: Tue Feb 20 01:16:55 2018

dir	fecha	indicativo	nombre	prec	presMax	presMin	provincia	racha	sol	tmax	tmed	tmin	velmedia
32.0	2015-02-14	8025	ALICANTE/ALACANT	0.6	1010.6	1004.4	ALICANTE	10.6	4.8	19.1	14.3	9.5	3.1
28.0	2015-02-14	7247X	PINOSO 	0.1			ALICANTE	12.5		14.7	9.6	4.6	3.1
26.0	2015-02-14	8019	ALICANTE-ELCHE AEROPUERTO	1.4	1017.1	1010.7	ALICANTE	13.3	3.3	19.3	13.4	7.4	4.2
32.0	2015-02-15	8025	ALICANTE/ALACANT	0.0	1004.7	1000.1	ALICANTE	14.2	9.0	20.3	15.6	10.8	3.3
32.0	2015-02-15	7247X	PINOSO 	0.1			ALICANTE	12.8		15.0	10.8	6.7	2.5
29.0	2015-02-15	8019	ALICANTE-ELCHE AEROPUERTO		1011.2	1006.4	ALICANTE	16.1	5.8	19.9	15.0	10.2	6.7
30.0	2015-02-16	8025	ALICANTE/ALACANT	1.4	1009.7	1004.7	ALICANTE	11.9	8.3	21.2	16.4	11.6	2.8
32.0	2015-02-16	7247X	PINOSO 	0.1			ALICANTE	11.7		16.2	11.8	7.5	2.2
27.0	2015-02-16	8019	ALICANTE-ELCHE AEROPUERTO		1015.7	1011.1	ALICANTE	15.0	7.8	21.2	16.8	12.4	5.8
4.0	2015-02-17	8025	ALICANTE/ALACANT	0.0	1017.9	1007.5	ALICANTE	11.9	2.2	15.8	13.2	10.5	3.9
5.0	2015-02-17	7247X	PINOSO 	1.3			ALICANTE	14.7		8.9	7.0	5.1	4.4
99.0	2015-02-17	8019	ALICANTE-ELCHE AEROPUERTO	0.1	1024.0	1013.6	ALICANTE	13.9	0.1	16.3	13.9	11.5	7.2
6.0	2015-02-18	8025	ALICANTE/ALACANT	0.0	1021.4	1017.0	ALICANTE	12.2	4.5	16.8	13.2	9.7	4.2
4.0	2015-02-18	7247X	PINOSO 	0.0			ALICANTE	10.6		8.6	6.7	4.8	3.9
6.0	2015-02-18	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1027.7	1023.2	ALICANTE	16.4	4.2	16.6	13.6	10.7	8.9
4.0	2015-02-19	8025	ALICANTE/ALACANT	0.0	1021.2	1017.2	ALICANTE	11.1	7.9	16.5	11.6	6.7	2.8
3.0	2015-02-19	7247X	PINOSO 	0.0			ALICANTE	9.7		11.7	6.8	1.8	3.9
7.0	2015-02-19	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1027.4	1023.3	ALICANTE	13.9	6.6	16.5	12.4	8.2	5.6
6.0	2015-02-20	8025	ALICANTE/ALACANT	0.0	1017.3	1005.6	ALICANTE	7.8	9.2	16.4	11.6	6.9	1.9
33.0	2015-02-20	7247X	PINOSO 	0.0			ALICANTE	5.3		14.0	6.6	-0.8	1.7
8.0	2015-02-20	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1023.6	1011.8	ALICANTE	10.8	6.6	16.4	11.2	5.9	4.4
1.0	2015-02-21	8025	ALICANTE/ALACANT	0.2	1005.6	994.1	ALICANTE	16.4	2.7	17.3	11.5	5.7	2.5
33.0	2015-02-21	7247X	PINOSO 	0.0			ALICANTE	17.2		12.5	5.0	-2.4	3.1
2.0	2015-02-21	8019	ALICANTE-ELCHE AEROPUERTO		1011.8	1000.1	ALICANTE	16.9	2.0	17.8	11.0	4.3	4.4
22.0	2015-02-22	8025	ALICANTE/ALACANT	0.0	1006.9	999.0	ALICANTE	14.2	8.4	19.6	13.6	7.5	2.8
31.0	2015-02-22	7247X	PINOSO 	0.0			ALICANTE	18.1		13.9	9.2	4.5	5.0
30.0	2015-02-22	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1013.1	1005.1	ALICANTE	16.9	8.9	19.7	13.6	7.6	6.9
32.0	2015-02-23	8025	ALICANTE/ALACANT	0.0	1007.0	1002.6	ALICANTE	15.6	8.5	21.1	14.6	8.1	4.2
27.0	2015-02-23	7247X	PINOSO 	0.0			ALICANTE	18.3		17.2	12.2	7.1	3.1
26.0	2015-02-23	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1013.1	1008.5	ALICANTE	16.1	5.8	21.6	15.2	8.8	5.0
28.0	2015-02-24	8025	ALICANTE/ALACANT	0.0	1014.7	1004.8	ALICANTE	16.1	10.0	17.8	14.0	10.2	3.1
34.0	2015-02-24	7247X	PINOSO 	0.0			ALICANTE	19.2		13.0	9.1	5.2	5.0
30.0	2015-02-24	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1021.1	1010.5	ALICANTE	21.1	6.9	17.3	14.2	11.1	6.9
36.0	2015-02-25	8025	ALICANTE/ALACANT	0.0	1015.4	1009.5	ALICANTE	15.8	6.4	17.0	14.0	11.0	3.6
34.0	2015-02-25	7247X	PINOSO 	0.0			ALICANTE	17.5		13.3	9.0	4.6	3.6
30.0	2015-02-25	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1021.7	1016.1	ALICANTE	18.6	1.4	17.5	13.9	10.3	9.2
34.0	2015-02-26	8025	ALICANTE/ALACANT	0.4	1011.6	1007.7	ALICANTE	13.9	8.2	22.8	18.0	13.3	1.4
99.0	2015-02-26	7247X	PINOSO 	0.0			ALICANTE	12.5		17.8	13.1	8.4	3.9
28.0	2015-02-26	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1017.9	1013.7	ALICANTE	13.9	6.4	23.3	18.0	12.8	3.3
33.0	2015-02-27	8025	ALICANTE/ALACANT	0.0	1013.2	1006.4	ALICANTE	15.0	9.5	21.2	15.4	9.5	3.3
31.0	2015-02-27	7247X	PINOSO 	0.0			ALICANTE	18.9		15.7	9.2	2.7	3.9
29.0	2015-02-27	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1019.5	1012.2	ALICANTE	20.0	9.4	22.0	15.3	8.6	7.5
99.0	2015-02-28	8025	ALICANTE/ALACANT	0.0	1013.5	1011.5	ALICANTE	5.3	10.0	16.8	11.5	6.2	1.4
33.0	2015-02-28	7247X	PINOSO 	0.0			ALICANTE	10.0		17.4	8.5	-0.4	1.7
99.0	2015-02-28	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1019.8	1017.4	ALICANTE	7.8	10.1	16.5	10.8	5.0	1.7
30.0	2015-03-01	8025	ALICANTE/ALACANT	0.0	1014.1	1010.8	ALICANTE	9.2	9.8	25.9	18.8	11.7	2.2
99.0	2015-03-01	7247X	PINOSO 	0.0			ALICANTE	8.9		20.5	14.3	8.1	2.2
